project_id,category,location,project_cost,planned_duration_months,planned_progress,actual_progress,progress_deviation,expenditure_percentage,cost_progress_ratio,resource_availability,material_availability,workforce_availability,contractor_performance,delay_days,milestone_completion_rate,change_requests,weather_impact,previous_delay_count,risk_history,risk_level,predicted_delay_months,predicted_cost_overrun_percentage
PRJ-1839,Highway,Tamil Nadu,1407.33,36,57.6,26.7,30.9,35.2,1.318,42.3,42.2,53.8,37.9,148,48.2,1,7.9,4,7.5,CRITICAL,11.9,25.5
PRJ-1840,Water Supply,Kerala,413.03,23,41.3,10.7,30.6,14.1,1.318,39.4,44.1,44.1,34.8,192,28.8,3,8.6,4,8.6,CRITICAL,15.7,25.2
PRJ-1841,Urban Development,Bihar,497.47,35,47.7,42.9,4.8,46.4,1.082,82.5,81.0,72.3,78.5,22,92.7,2,3.6,1,3.7,MEDIUM,1.2,7.8
PRJ-1842,Highway,Karnataka,1458.44,32,74.9,74.9,0.0,76.9,1.027,92.6,98.4,88.4,97.8,0,100.0,0,1.9,0,0.9,LOW,0.0,1.5
PRJ-1843,Power Infrastructure,Uttar Pradesh,9131.17,27,56.2,56.2,0.0,56.6,1.007,96.1,90.7,90.2,87.3,0,100.0,0,1.0,0,1.7,LOW,0.3,1.2
PRJ-1844,Metro,Tamil Nadu,19510.07,42,91.7,77.4,14.3,91.1,1.177,70.3,62.4,66.8,55.9,104,84.2,2,4.6,3,7.0,HIGH,7.7,15.4
PRJ-1845,Bridge,Kerala,2573.48,34,35.2,31.2,4.0,33.2,1.064,74.7,84.6,76.3,73.3,18,83.9,2,3.0,0,3.8,MEDIUM,2.7,8.6
PRJ-1846,Irrigation,Assam,1006.8,35,37.1,27.8,9.3,32.6,1.173,66.9,68.9,66.8,65.2,53,69.7,4,7.4,1,6.5,HIGH,5.8,13.6
PRJ-1847,Highway,Karnataka,7276.06,39,21.9,2.0,19.9,5.0,2.5,55.9,66.5,63.1,57.5,81,15.0,2,3.5,1,5.0,HIGH,5.5,14.8
PRJ-1848,Power Infrastructure,Kerala,2548.59,46,89.9,59.8,30.1,81.0,1.355,45.9,40.7,51.9,46.1,175,64.5,8,8.9,5,9.1,CRITICAL,11.1,25.4
PRJ-1849,Irrigation,Delhi NCR,1930.49,26,39.6,36.7,2.9,39.2,1.068,83.4,73.3,74.3,81.0,43,93.9,1,1.9,1,3.7,MEDIUM,1.9,6.2
PRJ-1850,Railway,Karnataka,3961.06,48,82.5,62.4,20.1,74.8,1.199,44.6,39.1,44.0,41.8,108,77.8,8,9.0,4,7.6,CRITICAL,11.8,26.3
PRJ-1851,Urban Development,Kerala,1863.41,22,21.3,17.5,3.8,17.7,1.011,73.1,83.5,85.7,72.1,31,81.5,3,5.6,1,2.8,MEDIUM,1.9,7.2
PRJ-1852,Water Supply,Andhra Pradesh,487.21,29,52.0,52.0,0.0,49.7,0.956,92.9,86.4,96.5,95.1,0,98.3,0,2.2,0,1.5,LOW,0.2,1.8
PRJ-1853,Airport,Rajasthan,2282.78,69,51.7,51.7,0.0,53.3,1.031,90.7,87.0,88.3,92.3,4,100.0,0,0.8,0,1.1,LOW,0.3,1.7
PRJ-1854,Railway,Maharashtra,2993.1,43,49.2,45.7,3.5,48.5,1.061,73.9,75.1,76.8,83.7,43,95.8,0,1.7,0,4.7,MEDIUM,2.2,5.9
PRJ-1855,Metro,Jammu & Kashmir,1708.81,63,51.2,45.0,6.2,45.1,1.002,80.0,73.1,77.1,82.8,24,93.8,0,4.1,1,4.0,MEDIUM,1.6,7.1
PRJ-1856,Urban Development,Assam,6324.13,41,62.5,60.9,1.6,64.0,1.051,97.3,86.1,90.6,93.9,0,95.1,1,3.2,0,1.2,LOW,0.2,1.8
PRJ-1857,Urban Development,Gujarat,355.01,34,23.6,9.9,13.7,11.4,1.152,67.0,56.8,57.5,61.7,113,37.9,2,6.7,2,5.4,HIGH,6.3,14.0
PRJ-1858,Airport,Madhya Pradesh,3258.66,48,87.1,60.3,26.8,75.8,1.257,36.3,46.4,41.8,47.3,148,65.8,2,6.6,2,7.7,CRITICAL,9.4,30.9
PRJ-1859,Power Infrastructure,West Bengal,2422.86,26,27.5,15.5,12.0,17.5,1.129,55.8,53.5,57.8,67.0,88,54.4,3,6.6,3,6.7,HIGH,3.8,16.3
PRJ-1860,Airport,Jammu & Kashmir,1411.01,63,59.3,57.7,1.6,59.8,1.036,91.9,97.7,92.6,98.0,0,95.2,0,2.8,0,0.6,LOW,0.3,1.7
PRJ-1861,Bridge,Gujarat,1789.36,44,33.4,20.7,12.7,23.3,1.126,65.8,63.7,64.4,57.6,94,60.8,3,4.7,3,5.8,HIGH,5.5,13.5
PRJ-1862,Metro,Tamil Nadu,9272.29,60,49.4,44.6,4.8,49.4,1.108,81.8,76.5,77.9,76.0,45,93.6,2,4.5,0,4.5,MEDIUM,1.8,6.4
PRJ-1863,Power Infrastructure,Bihar,3890.78,39,67.8,66.8,1.0,71.7,1.073,92.7,95.0,94.4,87.6,2,89.2,2,0.2,0,1.5,LOW,0.1,0.7
PRJ-1864,Power Infrastructure,Tamil Nadu,528.63,34,49.5,49.2,0.3,48.1,0.978,95.1,94.9,91.1,87.6,0,99.6,1,1.6,0,1.1,LOW,0.0,1.1
PRJ-1865,Irrigation,Kerala,488.75,27,20.2,17.5,2.7,17.9,1.023,72.3,82.4,85.7,71.5,31,87.2,1,3.8,1,3.4,MEDIUM,2.0,8.6
PRJ-1866,Railway,Himachal Pradesh,1871.04,45,37.0,27.3,9.7,31.6,1.158,61.8,60.3,63.5,59.1,110,70.3,2,4.9,1,6.8,HIGH,3.8,14.1
PRJ-1867,Urban Development,Telangana,478.44,13,68.6,65.5,3.1,63.1,0.963,78.1,70.1,79.4,74.9,35,88.3,0,2.3,0,4.5,MEDIUM,2.5,5.3
PRJ-1868,Airport,Bihar,2327.21,51,21.3,4.0,17.3,5.0,1.25,61.8,53.2,68.3,63.1,87,21.0,2,5.4,2,6.3,HIGH,6.2,13.9
PRJ-1869,Metro,Kerala,3530.78,27,75.5,74.8,0.7,70.7,0.945,94.7,92.4,90.4,85.2,0,100.0,1,3.6,0,1.4,LOW,0.2,1.2
PRJ-1870,Urban Development,Rajasthan,1098.66,33,38.8,30.2,8.6,34.2,1.132,81.5,82.4,76.1,83.0,27,73.8,2,3.1,0,3.2,MEDIUM,3.3,6.3
PRJ-1871,Railway,West Bengal,2056.77,27,88.3,85.9,2.4,85.1,0.991,94.4,86.7,89.0,94.9,6,100.0,0,0.7,0,1.1,LOW,0.2,0.0
PRJ-1872,Metro,Rajasthan,9705.84,71,75.3,52.3,23.0,65.9,1.26,36.6,48.5,43.5,34.5,133,69.4,4,7.0,5,7.9,CRITICAL,13.0,36.3
PRJ-1873,Power Infrastructure,Maharashtra,2928.64,47,31.2,2.9,28.3,5.0,1.724,36.9,32.5,49.9,47.2,175,15.0,5,6.2,2,9.0,CRITICAL,10.3,24.6
PRJ-1874,Irrigation,Himachal Pradesh,232.28,20,38.7,8.7,30.0,11.0,1.264,36.8,41.2,43.8,38.0,191,22.8,3,6.9,3,7.2,CRITICAL,13.2,23.3
PRJ-1875,Irrigation,Delhi NCR,391.37,34,45.8,28.5,17.3,32.7,1.147,64.2,68.6,67.2,56.3,60,61.7,2,4.7,3,6.7,HIGH,6.2,17.0
PRJ-1876,Urban Development,Karnataka,758.89,31,80.4,77.8,2.6,84.8,1.09,81.7,71.2,72.6,72.5,33,100.0,2,2.3,1,3.9,MEDIUM,2.6,7.3
PRJ-1877,Railway,Tamil Nadu,1271.29,43,51.8,25.9,25.9,34.1,1.317,51.1,37.2,41.8,42.3,174,50.1,6,9.0,4,7.1,CRITICAL,12.6,25.8
PRJ-1878,Airport,Assam,6377.13,45,65.9,60.7,5.2,62.0,1.021,75.2,79.9,77.9,80.6,22,93.2,1,2.7,0,4.2,MEDIUM,3.1,4.7
PRJ-1879,Power Infrastructure,Uttarakhand,1326.28,32,76.6,72.1,4.5,75.9,1.053,77.4,71.1,84.2,80.1,24,94.2,2,5.0,1,3.1,MEDIUM,2.9,7.3
PRJ-1880,Water Supply,Odisha,1045.98,25,73.3,66.5,6.8,73.7,1.108,83.2,79.9,85.4,83.9,30,93.0,2,4.2,1,3.8,MEDIUM,3.0,4.4
PRJ-1881,Railway,Karnataka,4360.07,32,53.8,49.4,4.4,51.3,1.038,78.9,72.5,78.2,81.2,15,90.8,2,3.9,0,4.3,MEDIUM,1.5,7.5
PRJ-1882,Irrigation,Tamil Nadu,211.77,28,64.3,26.5,37.8,37.3,1.408,37.2,50.8,52.3,46.3,144,45.7,11,5.1,3,8.8,CRITICAL,11.0,24.2
PRJ-1883,Power Infrastructure,Delhi NCR,5961.99,36,63.7,46.7,17.0,54.5,1.167,56.1,56.8,64.7,64.7,80,74.6,2,4.2,1,7.0,HIGH,6.0,15.1
PRJ-1884,Urban Development,Kerala,223.33,35,65.7,35.6,30.1,48.2,1.354,52.0,44.1,39.9,34.6,139,54.6,5,8.2,3,7.8,CRITICAL,10.7,19.9
PRJ-1885,Metro,Himachal Pradesh,3332.75,43,29.4,18.4,11.0,21.9,1.19,60.1,55.1,68.9,55.3,70,63.0,4,6.5,1,6.6,HIGH,7.0,16.8
PRJ-1886,Metro,Karnataka,1590.08,41,77.4,74.1,3.3,74.4,1.004,77.5,77.3,74.2,70.8,26,96.3,2,4.1,1,3.7,MEDIUM,3.2,5.8
PRJ-1887,Water Supply,Uttarakhand,320.87,42,28.8,20.9,7.9,22.5,1.077,73.1,83.5,78.0,82.8,41,70.0,0,5.3,1,3.7,MEDIUM,2.8,5.7
PRJ-1888,Highway,Gujarat,3283.89,44,87.5,81.7,5.8,86.9,1.064,75.4,77.9,75.5,78.5,36,96.4,2,3.9,0,4.1,MEDIUM,1.0,6.8
PRJ-1889,Urban Development,Karnataka,1175.11,34,65.2,49.6,15.6,59.1,1.192,60.3,61.0,55.4,63.2,71,78.9,4,3.9,3,5.6,HIGH,6.5,12.6
PRJ-1890,Airport,Bihar,9047.11,38,38.4,10.0,28.4,13.0,1.3,49.6,47.9,45.4,50.4,169,28.5,5,9.1,5,8.3,CRITICAL,13.3,26.4
PRJ-1891,Metro,Andhra Pradesh,2606.79,24,29.8,14.6,15.2,16.7,1.144,67.0,56.7,59.9,67.4,106,50.6,4,5.5,3,5.3,HIGH,6.3,16.9
PRJ-1892,Bridge,Kerala,3359.15,42,45.1,42.8,2.3,44.9,1.049,79.7,84.5,86.7,70.5,20,96.0,1,3.2,1,2.7,MEDIUM,2.8,5.9
PRJ-1893,Urban Development,Telangana,932.02,17,52.5,52.5,0.0,51.6,0.983,89.5,97.0,99.2,95.2,0,100.0,0,0.8,0,0.7,LOW,0.0,2.7
PRJ-1894,Railway,Madhya Pradesh,3420.44,57,39.2,38.3,0.9,40.3,1.052,89.1,86.5,91.2,89.7,0,92.4,0,0.6,0,1.9,LOW,0.2,1.1
PRJ-1895,Bridge,Himachal Pradesh,1647.6,28,88.6,71.0,17.6,86.1,1.213,63.9,53.9,59.8,57.8,49,77.5,4,7.2,3,5.5,HIGH,7.1,15.9
PRJ-1896,Airport,Karnataka,3732.18,49,23.0,17.8,5.2,18.7,1.051,84.8,76.1,79.0,70.1,23,84.6,2,4.0,1,3.2,MEDIUM,2.8,7.4
PRJ-1897,Airport,Himachal Pradesh,2261.68,54,75.7,75.7,0.0,79.2,1.046,88.4,89.3,99.0,95.8,4,96.1,1,3.9,0,1.0,LOW,0.2,1.4
PRJ-1898,Railway,Uttarakhand,1340.32,57,63.5,48.7,14.8,56.3,1.156,68.5,67.8,57.8,55.3,59,80.2,5,8.0,3,5.2,HIGH,6.6,15.7
PRJ-1899,Metro,Karnataka,13825.07,69,89.2,88.4,0.8,86.1,0.974,94.6,89.8,93.2,85.3,0,100.0,0,1.3,0,1.3,LOW,0.3,0.7
PRJ-1900,Metro,Andhra Pradesh,4947.26,37,91.6,91.6,0.0,93.1,1.016,92.5,90.1,98.9,92.9,3,100.0,0,2.4,0,1.0,LOW,0.0,1.2
PRJ-1901,Highway,Maharashtra,1430.3,32,67.8,65.8,2.0,68.6,1.043,72.2,81.2,81.6,74.7,45,94.5,1,1.7,0,3.8,MEDIUM,2.5,5.3
PRJ-1902,Railway,Uttar Pradesh,5705.57,36,45.4,45.4,0.0,46.2,1.018,92.0,87.9,95.1,94.3,0,100.0,1,0.9,0,1.0,LOW,0.3,3.1
PRJ-1903,Airport,West Bengal,5233.87,47,52.0,48.3,3.7,52.1,1.079,73.9,80.4,78.0,83.7,41,93.0,1,3.0,0,3.4,MEDIUM,2.5,9.5
PRJ-1904,Water Supply,Maharashtra,317.27,27,49.1,48.5,0.6,46.1,0.951,98.7,97.1,91.8,97.6,2,100.0,1,2.4,0,1.7,LOW,0.2,1.8
PRJ-1905,Power Infrastructure,Himachal Pradesh,680.77,24,55.9,54.4,1.5,63.1,1.16,81.7,75.8,72.4,78.5,33,100.0,7,5.4,0,3.1,MEDIUM,2.1,8.3
PRJ-1906,Airport,Telangana,3088.5,35,78.5,68.6,9.9,75.7,1.103,78.4,70.3,74.6,81.0,26,85.2,2,3.7,1,3.0,MEDIUM,3.3,4.0
PRJ-1907,Power Infrastructure,Rajasthan,3840.39,32,29.0,26.2,2.8,28.1,1.073,75.8,76.0,79.2,70.6,35,87.1,1,3.1,0,4.4,MEDIUM,1.9,7.7
PRJ-1908,Water Supply,Telangana,859.94,30,86.2,86.2,0.0,87.9,1.02,91.9,96.3,89.0,87.0,0,98.6,0,1.6,0,1.2,LOW,0.3,1.2
PRJ-1909,Power Infrastructure,Tamil Nadu,1116.42,59,20.1,18.6,1.5,17.9,0.962,76.1,79.5,72.1,84.0,37,92.6,2,3.3,1,3.7,MEDIUM,1.5,7.1
PRJ-1910,Highway,Bihar,517.39,18,38.8,31.8,7.0,33.5,1.053,80.4,81.5,86.4,82.1,28,82.2,2,3.4,1,4.4,MEDIUM,1.7,4.4
PRJ-1911,Power Infrastructure,Odisha,1038.85,43,45.4,45.4,0.0,45.7,1.007,89.3,98.9,97.9,89.9,1,98.9,0,1.4,0,1.6,LOW,0.2,1.3
PRJ-1912,Power Infrastructure,Delhi NCR,684.26,22,62.3,62.3,0.0,63.1,1.013,92.5,88.7,94.5,96.8,1,100.0,0,2.0,0,1.4,LOW,0.3,0.2
PRJ-1913,Bridge,Andhra Pradesh,2499.3,26,85.7,85.7,0.0,85.2,0.994,92.1,87.8,96.5,92.1,1,93.5,0,2.1,0,1.3,LOW,0.2,0.0
PRJ-1914,Metro,Andhra Pradesh,5993.86,35,26.1,4.4,21.7,5.5,1.25,40.4,30.3,37.3,46.9,100,18.9,7,6.1,5,9.5,CRITICAL,14.2,23.9
PRJ-1915,Irrigation,Kerala,183.01,25,91.8,85.3,6.5,90.5,1.061,83.4,73.3,80.0,83.2,37,92.6,1,3.2,0,4.1,MEDIUM,2.7,8.5
PRJ-1916,Water Supply,Karnataka,696.44,36,83.8,83.8,0.0,81.0,0.967,95.4,88.9,91.4,95.2,5,100.0,0,1.2,0,2.1,LOW,0.0,0.9
PRJ-1917,Irrigation,Uttarakhand,1892.71,26,89.3,85.7,3.6,87.5,1.021,77.2,72.8,72.2,82.5,19,96.0,0,2.7,0,3.1,MEDIUM,2.6,9.2
PRJ-1918,Urban Development,Gujarat,2480.79,31,76.5,50.1,26.4,61.5,1.228,37.1,45.6,54.9,41.5,156,66.9,3,8.3,2,8.1,CRITICAL,9.2,20.3
PRJ-1919,Irrigation,Rajasthan,455.22,31,85.8,80.4,5.4,85.2,1.06,83.6,82.5,84.4,77.1,37,95.4,0,2.0,0,4.0,MEDIUM,3.0,5.1
PRJ-1920,Power Infrastructure,Gujarat,814.17,45,35.4,2.0,33.4,5.0,2.5,53.8,47.5,47.6,53.5,122,15.0,9,7.3,3,9.3,CRITICAL,12.5,33.5
PRJ-1921,Airport,Delhi NCR,3094.03,45,42.7,29.4,13.3,36.0,1.224,60.3,64.4,64.0,55.1,45,67.4,5,4.0,2,6.8,HIGH,5.4,17.4
PRJ-1922,Bridge,Karnataka,832.84,35,59.7,58.6,1.1,60.6,1.034,88.5,88.0,95.7,86.0,0,93.8,1,1.1,0,0.8,LOW,0.2,1.6
PRJ-1923,Railway,Uttar Pradesh,3799.71,55,78.9,65.5,13.4,73.5,1.122,59.1,63.7,58.9,63.2,85,80.7,1,6.4,1,5.8,HIGH,6.0,16.1
PRJ-1924,Airport,Assam,14251.39,52,45.9,44.8,1.1,45.8,1.022,97.4,97.3,88.2,86.9,3,98.5,1,1.7,0,1.6,LOW,0.0,0.5
PRJ-1925,Water Supply,Rajasthan,3296.39,21,89.7,87.8,1.9,92.3,1.051,94.9,86.2,98.6,94.2,2,95.6,0,0.5,0,1.8,LOW,0.3,1.3
PRJ-1926,Metro,Andhra Pradesh,7541.28,56,31.8,30.9,0.9,31.6,1.023,94.3,86.9,95.0,96.8,0,99.5,0,0.5,0,0.7,LOW,0.1,2.4
PRJ-1927,Irrigation,West Bengal,2087.38,45,89.2,85.8,3.4,87.8,1.023,80.2,73.6,83.1,77.9,22,95.4,1,3.7,0,2.5,MEDIUM,2.9,4.6
PRJ-1928,Metro,Jammu & Kashmir,3727.19,72,77.4,75.8,1.6,78.7,1.038,91.7,96.3,90.5,96.0,2,100.0,1,2.9,0,1.2,LOW,0.2,0.3
PRJ-1929,Urban Development,Delhi NCR,1137.01,38,90.2,77.2,13.0,85.7,1.11,69.9,63.7,64.9,64.8,56,84.0,4,3.9,2,6.3,HIGH,7.1,14.1
PRJ-1930,Power Infrastructure,Telangana,4043.68,24,75.8,73.0,2.8,76.3,1.045,76.9,76.2,86.0,72.1,32,93.0,4,2.4,1,2.6,MEDIUM,2.3,7.1
PRJ-1931,Power Infrastructure,Maharashtra,1603.56,49,33.7,28.1,5.6,28.8,1.025,82.1,71.3,72.3,80.6,28,87.8,2,3.3,0,2.6,MEDIUM,2.5,7.4
PRJ-1932,Railway,Assam,2791.36,45,35.1,32.5,2.6,35.1,1.08,80.0,76.8,75.8,76.4,25,92.2,0,4.8,1,4.7,MEDIUM,2.5,5.9
PRJ-1933,Urban Development,Delhi NCR,1248.62,33,20.8,9.6,11.2,11.2,1.167,68.4,58.6,54.2,60.6,46,48.7,4,4.4,2,6.9,HIGH,8.3,15.4
PRJ-1934,Bridge,West Bengal,732.32,29,87.2,72.7,14.5,88.0,1.21,65.3,60.6,56.3,63.8,119,83.5,4,6.0,3,6.3,HIGH,5.2,12.8
PRJ-1935,Irrigation,Uttar Pradesh,1207.25,36,41.3,40.9,0.4,39.9,0.976,92.3,87.2,91.1,94.7,0,100.0,0,2.4,0,1.1,LOW,0.0,0.0
PRJ-1936,Highway,Telangana,1711.19,18,78.6,75.2,3.4,84.0,1.117,73.4,82.0,73.8,81.2,36,97.6,6,1.9,1,4.3,MEDIUM,2.5,6.4
PRJ-1937,Power Infrastructure,Jammu & Kashmir,1564.51,46,48.4,42.2,6.2,45.6,1.081,85.4,79.4,74.8,79.9,26,87.3,1,3.0,0,4.1,MEDIUM,1.7,9.7
PRJ-1938,Airport,Himachal Pradesh,4774.26,66,79.7,75.9,3.8,84.6,1.115,79.8,72.9,82.2,81.7,34,92.8,1,5.3,1,2.8,MEDIUM,2.8,6.0
PRJ-1939,Highway,Gujarat,11987.32,31,50.0,37.5,12.5,43.6,1.163,69.6,59.9,64.4,59.0,117,80.0,2,4.1,2,5.2,HIGH,5.5,14.2
PRJ-1940,Water Supply,Karnataka,1306.53,26,23.1,23.1,0.0,23.6,1.022,97.2,88.0,95.6,95.9,0,100.0,1,0.2,0,1.4,LOW,0.2,1.3
PRJ-1941,Airport,Kerala,9289.98,64,73.0,69.9,3.1,75.0,1.073,72.3,85.0,73.8,75.1,29,96.8,1,4.1,0,2.7,MEDIUM,2.6,6.9
PRJ-1942,Water Supply,Kerala,898.47,36,71.3,42.4,28.9,57.2,1.349,50.7,33.7,46.5,52.1,189,56.7,6,10.0,3,8.8,CRITICAL,14.1,29.6
PRJ-1943,Highway,Assam,993.92,49,50.8,47.6,3.2,50.2,1.055,81.1,84.5,80.3,70.9,37,99.5,1,4.0,1,3.8,MEDIUM,1.5,8.1
PRJ-1944,Highway,Himachal Pradesh,2801.82,44,36.8,31.0,5.8,33.2,1.071,72.3,76.2,76.0,82.5,27,86.3,2,3.6,1,3.1,MEDIUM,2.2,7.1
PRJ-1945,Bridge,Kerala,2100.92,21,30.1,25.3,4.8,26.7,1.055,72.4,84.7,75.0,82.1,35,87.8,1,3.2,1,3.0,MEDIUM,3.0,10.1
PRJ-1946,Urban Development,Telangana,524.27,26,56.3,47.3,9.0,54.3,1.148,64.4,55.8,63.4,68.8,49,85.4,6,6.3,1,5.8,HIGH,5.4,12.5
PRJ-1947,Railway,Assam,2879.23,38,50.6,20.6,30.0,26.7,1.296,46.7,43.4,39.3,35.0,90,36.9,2,8.8,3,8.1,CRITICAL,13.1,31.1
PRJ-1948,Urban Development,Delhi NCR,1483.28,26,33.3,33.3,0.0,33.6,1.009,89.1,97.6,94.9,93.0,7,100.0,0,1.7,0,2.0,LOW,0.0,2.3
PRJ-1949,Urban Development,Madhya Pradesh,852.17,29,48.1,42.6,5.5,45.4,1.066,84.2,70.1,82.7,77.3,29,88.5,1,2.4,1,2.6,MEDIUM,3.1,4.8
PRJ-1950,Railway,Karnataka,8286.8,54,57.7,44.8,12.9,50.4,1.125,66.7,64.5,55.7,66.8,90,75.9,1,4.1,3,6.4,HIGH,4.8,10.7
PRJ-1951,Railway,Assam,4548.4,30,54.3,51.8,2.5,50.1,0.967,92.1,97.5,96.0,92.6,5,93.2,0,1.6,0,1.8,LOW,0.3,1.3
PRJ-1952,Irrigation,Andhra Pradesh,358.48,37,71.3,61.3,10.0,70.3,1.147,58.7,53.8,58.3,58.7,82,88.9,4,5.1,2,5.8,HIGH,5.0,11.0
PRJ-1953,Urban Development,Kerala,3161.56,35,44.9,44.8,0.1,45.3,1.011,98.8,97.9,92.4,85.7,6,98.2,2,3.7,0,1.3,LOW,0.3,1.2
PRJ-1954,Metro,West Bengal,3773.05,24,59.2,52.0,7.2,59.2,1.138,82.8,76.0,79.6,72.5,36,83.3,2,3.4,1,4.3,MEDIUM,3.6,6.0
PRJ-1955,Urban Development,Assam,172.53,35,81.7,77.0,4.7,81.8,1.062,80.9,81.1,76.4,70.3,36,95.6,2,3.7,1,3.3,MEDIUM,2.1,6.3
PRJ-1956,Urban Development,Uttar Pradesh,523.05,32,62.9,56.2,6.7,59.0,1.05,82.8,76.1,79.4,84.0,34,91.2,3,2.6,0,3.3,MEDIUM,0.9,7.9
PRJ-1957,Highway,Uttar Pradesh,2636.63,39,58.1,58.1,0.0,56.6,0.974,96.9,87.5,97.2,88.8,5,100.0,0,1.1,0,0.8,LOW,0.0,1.6
PRJ-1958,Metro,Andhra Pradesh,4754.51,57,79.6,75.9,3.7,79.6,1.049,83.4,75.3,82.8,70.1,30,98.8,2,2.6,1,2.7,MEDIUM,2.6,3.5
PRJ-1959,Power Infrastructure,Uttarakhand,2938.54,28,42.2,31.5,10.7,36.0,1.143,67.4,68.6,65.1,69.0,83,73.3,5,5.8,1,6.9,HIGH,5.8,14.4
PRJ-1960,Power Infrastructure,Karnataka,2892.38,32,84.5,82.9,1.6,90.9,1.097,79.2,71.7,81.8,80.1,40,96.4,4,3.3,1,3.3,MEDIUM,2.1,8.0
PRJ-1961,Urban Development,Karnataka,1012.93,27,91.4,74.4,17.0,87.2,1.172,55.4,60.5,62.5,65.9,96,82.6,3,3.2,1,7.1,HIGH,6.0,14.4
PRJ-1962,Irrigation,Andhra Pradesh,1822.45,21,52.1,52.1,0.0,52.4,1.006,91.5,89.2,92.1,93.5,2,100.0,0,2.0,0,0.9,LOW,0.1,2.5
PRJ-1963,Metro,Assam,6945.98,36,71.8,71.8,0.0,73.3,1.021,97.9,92.3,91.4,85.6,0,99.8,1,3.4,0,1.7,LOW,0.1,1.6
PRJ-1964,Airport,Andhra Pradesh,5302.41,57,20.0,15.8,4.2,17.3,1.095,80.7,80.0,80.4,77.7,48,78.0,3,4.1,1,4.0,MEDIUM,2.3,7.3
PRJ-1965,Urban Development,Uttarakhand,255.3,30,65.3,47.1,18.2,57.8,1.227,66.2,54.0,56.0,55.6,56,71.1,2,4.7,3,7.1,HIGH,7.3,15.2
PRJ-1966,Urban Development,Jammu & Kashmir,573.04,26,51.3,24.3,27.0,29.4,1.21,42.3,39.1,42.0,46.6,169,38.2,6,7.9,2,9.0,CRITICAL,11.2,26.6
PRJ-1967,Airport,Jammu & Kashmir,4925.66,47,57.5,49.4,8.1,53.5,1.083,82.7,78.6,82.5,74.0,27,86.3,1,4.6,1,4.3,MEDIUM,2.5,4.6
PRJ-1968,Highway,Kerala,2033.59,36,72.2,65.6,6.6,68.0,1.037,78.0,80.9,74.2,80.0,23,88.6,0,3.1,1,3.6,MEDIUM,2.2,9.1
PRJ-1969,Irrigation,Gujarat,938.6,12,29.1,25.4,3.7,25.9,1.02,78.4,80.8,73.2,82.9,38,86.1,2,3.4,1,2.5,MEDIUM,1.1,5.9
PRJ-1970,Water Supply,Telangana,965.63,35,58.0,29.1,28.9,37.4,1.285,46.9,39.8,53.2,37.4,132,45.6,8,7.2,2,9.0,CRITICAL,10.5,23.3
PRJ-1971,Highway,Jammu & Kashmir,4551.23,35,71.3,30.8,40.5,41.9,1.36,38.6,39.9,53.4,53.6,160,35.6,6,10.0,4,8.9,CRITICAL,8.8,21.5
PRJ-1972,Airport,Rajasthan,1864.45,33,66.1,64.5,1.6,63.9,0.991,91.3,88.1,98.0,91.6,8,99.1,0,2.4,0,1.0,LOW,0.5,0.6
PRJ-1973,Highway,Jammu & Kashmir,1650.3,27,29.1,20.6,8.5,21.2,1.029,74.8,84.0,75.4,77.3,31,76.4,0,4.3,0,3.7,MEDIUM,2.4,6.2
PRJ-1974,Metro,Uttarakhand,8970.72,55,44.9,27.3,17.6,31.2,1.143,69.5,56.3,68.9,65.0,107,57.3,3,4.2,3,5.6,HIGH,5.5,13.8
PRJ-1975,Water Supply,Karnataka,264.44,31,24.6,23.4,1.2,23.7,1.013,94.4,92.8,93.8,88.6,0,97.7,0,0.9,0,1.8,LOW,0.1,2.2
PRJ-1976,Bridge,Uttar Pradesh,1266.93,29,57.8,23.6,34.2,32.3,1.369,41.9,34.0,52.9,41.2,124,45.5,10,5.7,5,8.2,CRITICAL,9.6,27.5
PRJ-1977,Railway,West Bengal,1379.39,41,58.5,57.0,1.5,60.5,1.061,73.4,78.1,84.3,83.8,33,99.3,3,2.2,0,3.8,MEDIUM,2.8,5.2
PRJ-1978,Highway,Delhi NCR,1417.63,52,84.0,78.4,5.6,85.8,1.094,83.8,82.4,82.8,81.5,25,95.0,1,4.1,1,3.1,MEDIUM,3.0,8.5
PRJ-1979,Irrigation,Odisha,3094.27,17,46.6,46.6,0.0,45.8,0.983,90.6,96.4,92.7,93.1,0,95.5,0,1.3,0,1.8,LOW,0.4,0.8
PRJ-1980,Metro,Odisha,5617.61,45,65.7,63.7,2.0,64.7,1.016,77.3,81.2,84.5,71.6,48,92.1,1,1.5,1,4.3,MEDIUM,2.3,4.8
PRJ-1981,Bridge,Odisha,3053.01,31,51.5,45.8,5.7,48.6,1.061,76.7,78.8,83.7,83.8,30,90.3,3,4.3,0,3.6,MEDIUM,1.8,5.7
PRJ-1982,Urban Development,Jammu & Kashmir,1120.88,24,73.4,71.9,1.5,75.6,1.051,72.5,84.6,72.2,72.8,10,100.0,3,5.4,0,4.7,MEDIUM,2.4,6.9
PRJ-1983,Highway,Karnataka,536.2,20,41.7,41.4,0.3,42.6,1.029,94.1,87.0,94.3,93.5,2,100.0,0,2.0,0,2.0,LOW,0.6,0.8
